NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05781332,980000,22496,4,1,
05781332,980000,22496,5,1,
05781371,900000,109000,1,1,
05781371,900000,109000,2,1,
05781371,900000,109000,3,1,
05781371,900000,109000,4,1,
05781371,900000,109000,5,1,
05781371,900180,1683,1,1,
05781371,900180,1730,2,1,
05781371,900180,1300,3,1,
05781371,900180,1204,4,1,
05781371,900180,1261,5,1,
05781371,980000,110683,1,1,
05781371,980000,110730,2,1,
05781371,980000,110300,3,1,
05781371,980000,110204,4,1,
05781371,980000,110261,5,1,
05781372,900000,109000,1,1,
05781372,900000,109000,2,1,
05781372,900000,109000,3,1,
05781372,900000,109000,4,1,
05781372,900000,109000,5,1,
05781372,900180,1809,1,1,
05781372,900180,1218,2,1,
05781372,900180,1089,3,1,
05781372,900180,1034,4,1,
05781372,900180,1293,5,1,
05781372,980000,110809,1,1,
05781372,980000,110218,2,1,
05781372,980000,110089,3,1,
05781372,980000,110034,4,1,
05781372,980000,110293,5,1,
05781461,900000,161292,1,1,
05781461,900000,128887,2,1,
05781461,900000,82274,3,1,
05781461,900000,31047,4,1,
05781461,900000,63130,5,1,
05781461,980000,161292,1,1,
05781461,980000,128887,2,1,
05781461,980000,82274,3,1,
05781461,980000,31047,4,1,
05781461,980000,63130,5,1,
05781462,900000,395875,1,1,T
05781462,900000,395875,2,1,T
05781462,900000,395875,3,1,T
05781462,900000,395875,4,1,T
05781462,900000,395875,5,1,T
05781462,980000,395875,1,1,T
05781462,980000,395875,2,1,T
05781462,980000,395875,3,1,T
05781462,980000,395875,4,1,T
05781462,980000,395875,5,1,T
05781521,900000,164157,1,1,
05781521,900000,127130,2,1,
05781521,900000,77635,3,1,
05781521,900000,24941,4,1,
05781521,900000,73600,5,1,
05781521,980000,164157,1,1,
05781521,980000,127130,2,1,
05781521,980000,77635,3,1,
05781521,980000,24941,4,1,
05781521,980000,73600,5,1,
05781522,900000,18934,1,1,
05781522,900000,158084,2,1,
05781522,900000,162586,3,1,
05781522,900000,150450,4,1,
05781522,900000,54053,5,1,
05781522,980000,18934,1,1,
05781522,980000,158084,2,1,
05781522,980000,162586,3,1,
05781522,980000,150450,4,1,
05781522,980000,54053,5,1,
05781541,900030,44220,1,1,
05781541,900030,55572,2,1,
05781541,900030,53208,3,1,
05781541,900030,54528,4,1,
05781541,900030,43740,5,1,
05781541,980000,44220,1,1,
05781541,980000,55572,2,1,
05781541,980000,53208,3,1,
05781541,980000,54528,4,1,
05781541,980000,43740,5,1,
05781542,900030,53028,1,1,
05781542,900030,48288,2,1,
05781542,900030,56940,3,1,
05781542,900030,53136,4,1,
05781542,900030,48972,5,1,
05781542,980000,53028,1,1,
05781542,980000,48288,2,1,
05781542,980000,56940,3,1,
05781542,980000,53136,4,1,
05781542,980000,48972,5,1,
05781561,900000,215000,1,1,
05781561,900000,215000,2,1,
05781561,900000,215000,3,1,
05781561,900000,215000,4,1,
05781561,900000,215000,5,1,
05781561,980000,215000,1,1,
05781561,980000,215000,2,1,
05781561,980000,215000,3,1,
05781561,980000,215000,4,1,
05781561,980000,215000,5,1,
05781562,900000,215000,1,1,
05781562,900000,215000,2,1,
05781562,900000,215000,3,1,
05781562,900000,215000,4,1,
05781562,900000,215000,5,1,
05781562,980000,215000,1,1,
05781562,980000,215000,2,1,
05781562,980000,215000,3,1,
05781562,980000,215000,4,1,
05781562,980000,215000,5,1,
