NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05781541,980090,100,,1
05781541,980210,100,,1
05781541,980240,100,,1
05781541,980282,100,,1
05781541,980286,100,,1
05781541,980300,100,,1
05781542,900030,52073,,1
05781542,980000,52073,,1
05781542,980010,3,,1
05781542,980020,88,T,1
05781542,980060,2,,1
05781542,980090,100,,1
05781542,980210,100,,1
05781542,980240,100,,1
05781542,980282,100,,1
05781542,980286,100,,1
05781542,980300,100,,1
05781561,900000,215000,,1
05781561,980000,215000,,1
05781561,980010,4,,1
05781561,980020,52,,1
05781561,980030,3,,1
05781561,980040,4,,1
05781561,980090,100,,1
05781561,980220,100,,1
05781561,980230,100,,1
05781561,980281,100,,1
05781561,980286,100,,1
05781561,980310,100,,1
05781561,980330,100,,1
05781562,900000,215000,,1
05781562,980000,215000,,1
05781562,980010,4,,1
05781562,980020,52,,1
05781562,980030,3,,1
05781562,980040,4,,1
05781562,980090,100,,1
05781562,980220,100,,1
05781562,980230,100,,1
05781562,980281,100,,1
05781562,980286,100,,1
05781562,980310,100,,1
05781562,980330,100,,1
05781591,900000,182263,,1
05781591,980000,182263,,1
05781591,980010,3,,1
05781591,980020,52,,1
05781591,980030,3,,1
05781591,980040,3,,1
05781591,980090,100,,1
05781591,980210,100,,1
05781591,980230,100,,1
05781591,980270,100,,1
05781591,980286,100,,1
05781591,980310,100,,1
05781591,980330,100,,1
05781592,900000,180832,,1
05781592,980000,180832,,1
05781592,980010,3,,1
05781592,980020,52,,1
05781592,980030,3,,1
05781592,980040,3,,1
05781592,980090,100,,1
05781592,980210,100,,1
05781592,980230,100,,1
05781592,980270,100,,1
05781592,980286,100,,1
05781592,980310,100,,1
05781592,980330,100,,1
05781601,900000,164000,,1
05781601,980000,164000,,1
05781601,980010,3,,1
05781601,980020,44,,1
05781601,980030,2,,1
05781601,980040,2,,1
05781601,980050,1,,1
05781601,980220,100,,1
05781601,980260,100,,1
05781601,980281,100,,1
05781601,980286,100,,1
05781601,980310,100,,1
05781601,980330,100,,1
05781602,900000,164000,,1
05781602,980000,164000,,1
05781602,980010,3,,1
05781602,980020,44,,1
05781602,980030,2,,1
05781602,980040,2,,1
05781602,980050,1,,1
05781602,980220,100,,1
05781602,980260,100,,1
05781602,980281,100,,1
05781602,980286,100,,1
05781602,980310,100,,1
05781602,980330,100,,1
05781661,900030,32096,,1
05781661,980000,32096,,1
05781661,980010,1,,1
05781661,980020,81,,1
05781661,980040,1,,1
05781661,980060,1,,1
05781661,980090,100,,1
05781661,980220,100,,1
05781661,980240,100,,1
05781661,980281,100,,1
05781661,980286,100,,1
05781661,980310,100,,1
05781661,980330,100,,1
05781662,900030,32096,,1
05781662,980000,32096,,1
05781662,980010,1,,1
05781662,980020,81,,1
05781662,980040,1,,1
05781662,980060,1,,1
05781662,980090,100,,1
05781662,980220,100,,1
05781662,980240,100,,1
05781662,980281,100,,1
05781662,980286,100,,1
05781662,980310,100,,1
05781662,980330,100,,1
05781681,800940,6701,,1
05781681,900000,1600,,1
05781681,900160,43000,,1
05781681,980000,44600,,1
05781681,980010,1,,1
05781681,980020,27,,1
05781681,980030,1,,1
05781681,980040,1,,1
05781681,980220,100,,1
05781681,980260,100,,1
05781681,980281,100,,1
05781681,980286,100,,1
05781681,980300,100,,1
05781681,980330,100,,1
05781682,800940,6701,,1
05781682,900000,1600,,1
05781682,900160,43000,,1
05781682,980000,44600,,1
05781682,980010,1,,1
05781682,980020,27,,1
05781682,980030,1,,1
05781682,980040,1,,1
05781682,980220,100,,1
05781682,980260,100,,1
05781682,980281,100,,1
05781682,980286,100,,1
05781682,980300,100,,1
05781682,980330,100,,1
05781721,900000,37000,,1
05781721,900030,15372,,1
05781721,900150,1536,,1
05781721,900210,3000,,1
05781721,900220,900,,1
05781721,980000,56908,,1
05781721,980010,2,,1
05781721,980020,59,,1
05781721,980030,1,,1
05781721,980040,1,,1
05781721,980090,100,,1
05781721,980210,100,,1
05781721,980230,100,,1
05781721,980281,100,,1
05781721,980286,100,,1
05781721,980310,100,,1
05781721,980330,100,,1
05781722,900000,37000,,1
05781722,900030,15372,,1
05781722,900150,1536,,1
05781722,900210,3000,,1
05781722,900220,900,,1
05781722,980000,56908,,1
05781722,980010,2,,1
05781722,980020,59,,1
05781722,980030,1,,1
05781722,980040,1,,1
05781722,980090,100,,1
05781722,980210,100,,1
05781722,980230,100,,1
05781722,980281,100,,1
